,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
brackets,0.3027675891963988,3632,4.6779002162942716,7426.598454600334,0.7788936500826865,0.942567946463336
BroadleafCommerce,0.24414463772086015,3565,7.644397025401214,75998.10064642552,0.7863759472455591,0.972995093554042
camel,0.0141087853987108,974,0.4222652142458221,4573.184516106519,0.9925235908127076,0.9942843899220477
corefx-v-6.2,0.20778103814631185,4107,4.057746282880318,47043.629573010614,0.7860932631364257,0.698391610999631
django,0.00959331973482917,301,0.08528593445428233,33.76703651347321,0.9876729448173421,0.9998837890795171
elasticsearch,0.3490525837334167,24574,16.52151506727886,282613.70446529664,0.6845888372268509,0.7382000782638806
fabric8,0.04722696908497748,608,2.142196762550409,24198.193302943684,0.9480120642722115,0.9988187879937711
godot,0.338052679703861,11461,1.4599567504914415,1081.4120681358934,0.5709241411091776,0.9970624399563637
vscode,0.21146661734788239,22868,3.1462847266151877,20764.873992794623,0.8172810996798417,0.9558803803150756
pytorch,0.012305579006109863,860,0.2748882867904107,834.2936506988306,0.9882826126661794,0.999986089374122
spring-boot,0.2644229262636708,8438,51.22914287649427,1088410.1267194883,0.7482823318668,0.9988686439870027
node,0.04181210731026229,1677,0.47070840106724493,624.4395804050629,0.9466258807447073,0.9996117007560422
nova,0.3304271741508078,10574,5.736836403734573,119508.70833584011,0.6982230937532266,0.9897105966242419
tomcat,0.005194705248576266,135,1.5389300320753942,5043.57307593778,0.9949412403154637,0.9985688756676505
pandas,0.05135204573190314,1599,0.2794023424937337,83.51116417303952,0.9655058558710324,0.9987518002607764
security,0.15199942668768812,2121,72.98870133501636,2680461.4274409385,0.860558964376329,0.9508686732915809
rails,0.15020436968859352,10216,1.517265304383653,1532.4653961641957,0.8801375257769279,0.9971808015465428
rust,0.4207728141560508,73525,11.00265391638762,202391.75689761288,0.7374954344812087,0.9141702911581061
wp-calypso,0.04045499340226161,2422,1.0389528963510415,1503.5576476549322,0.9491676300079802,0.9930904826737641
npm,0.010280599903241412,85,0.6550547834650556,607.4641146689048,0.9904075683118511,0.9996672567976623
Mybatis3,0.08542849418761828,316,555.2326791192324,19319789.65175511,0.9382397151229607,0.3788022483207142
tensorflow,0.2597183866898503,38089,1.3271769426018012,1403.516536571642,0.7359973446968157,0.9936566978092491
