,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
0,0.9194896809628238,0.27007678343373814,0.46336547453332205,0.2505217798907248,0.7906892489762468,0.36762136297968917,0.5947777498981184
1,0.9200965819693621,0.26831500017737225,0.4711816968905885,0.24909366502513253,0.782640593780482,0.37390004561578727,0.5942003500997517
2,0.9216647069362341,0.27105413860613764,0.46859213110393416,0.25683291310049017,0.7983652115633385,0.37240437302012425,0.5963540885780659
3,0.9240485289166945,0.25534004643934816,0.45036494517209247,0.2406984888829023,0.7866873303219417,0.3523344482240948,0.5896891158097782
4,0.9243004201189078,0.2649524389734351,0.47007355496419184,0.2509903251832244,0.7866114476781922,0.3718473120761061,0.5946212748303032
5,0.9226028194357606,0.2732150160783538,0.47919082991467427,0.2605639546559491,0.7970376905626146,0.3827757411997735,0.597903647444125
6,0.9176309030836463,0.2793886309927191,0.4734862692509826,0.2571863667008777,0.7904306305252861,0.3795546448184396,0.598504158165695
7,0.9271892882627711,0.2530689966092427,0.4567852500406107,0.24489870414284567,0.7914045080852556,0.3564610920434997,0.5901241844358205
8,0.9257636891242131,0.2644777312954474,0.4708780266830155,0.25566232953291274,0.7973345929383913,0.3721662810742819,0.595115655134356
9,0.9206951303080765,0.26259470567523535,0.45797927350404977,0.24206431390853467,0.7802425435206977,0.3613096821053449,0.5916395177758178
10,0.9193531456773097,0.2882792082846212,0.49018066971971425,0.2679444914680557,0.7908673396387054,0.39735835705306516,0.6038106853835176
11,0.9246653750821519,0.26280297889301274,0.46472932116967985,0.24979946390102065,0.7909044544054427,0.3668749494611864,0.5937290471230957
12,0.9274228712225755,0.26421018955630954,0.4701302594257825,0.2580311205210915,0.8024093761359811,0.37234122110740825,0.5958115882949426
13,0.9183536553146948,0.27452044904592626,0.4747100287011212,0.2541020143562244,0.7882427530434608,0.37924555812951893,0.5964314925231872
14,0.9203892537201261,0.2581809976643219,0.461717378583023,0.23935167943030958,0.7789343307593981,0.36249280743699525,0.5892797046479095
15,0.9230801327947915,0.25287288890198517,0.45022428897678834,0.23575090825088402,0.7803168015960206,0.35160494837178574,0.5879712730378129
16,0.9217039858422773,0.2762957882836412,0.47786990892908154,0.260994739152231,0.7951897088677431,0.3829577669438507,0.598994555544512
17,0.9198812783915542,0.26521072453257194,0.4664842100674241,0.24429432255526448,0.7778637675077996,0.36888976272916457,0.5925405458274842
18,0.9248875369087742,0.26055553481297755,0.4672295764034468,0.24935389919669712,0.7905616026997153,0.36815405188771677,0.5927164211243608
19,0.9267303552363155,0.2541000638839692,0.4596549757783392,0.24553351051743336,0.7925553142319574,0.35922591387783126,0.5904102203091967
20,0.9172767169125231,0.2844153624402388,0.4829258571385158,0.26199379782633536,0.790640618052404,0.3895033406026992,0.6008404066858061
21,0.9227788837821891,0.2723715300197564,0.47631608144080767,0.25744382194558807,0.7909857381614895,0.37987540919622126,0.5975699485770328
22,0.9245740609895271,0.2555442869744199,0.46007549057624103,0.2441818669187424,0.7898898396409985,0.360419821424193,0.5900540378995104
23,0.9205657657955678,0.2663832224861943,0.4689536158575944,0.24680107767668094,0.7806473276024577,0.37182986413790714,0.5934690851160466
24,0.9178811970063236,0.27269503342984663,0.4693263760690723,0.2508740113285312,0.7854792944735716,0.3735157225096235,0.5952825233892068
25,0.9193790308074161,0.27259850500605365,0.46934584472018737,0.2511057122413356,0.785222503529171,0.37425313914327296,0.5959832780719188
26,0.9222377581285548,0.2684017549529545,0.47283396817051443,0.2552116581639756,0.7951240157412618,0.3753040229643845,0.5953144613691996
27,0.9212941802924416,0.25782483348096236,0.4521033319825662,0.23970225467617465,0.7841015240559335,0.3540825647421315,0.5895541474628003
28,0.9214864672267806,0.2714872796161876,0.47087668632977814,0.25377603822808315,0.7889436161559075,0.37498956618828305,0.5964815270912418
29,0.9221544787284239,0.2660384831654965,0.4764150233927291,0.2510868575371807,0.7863100809713884,0.3781429229535501,0.5940911801045461
avg,0.9219859292992936,0.2669090867904159,0.4681333448496623,0.25086153623051444,0.7888877935074419,0.3710478898005977,0.5944421957251719
