,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999998,1.0
ns,0.0,0,0.0,0.0,0.9999999999999999,1.0
nd,0.0,0,0.0,0.0,1.0,1.0000000000000002
nf,0.0,0,0.0,0.0,1.0,1.0000000000000002
entrophy,0.0,0,0.0,0.0,0.9999999999999999,0.9999999999999999
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.6125742540260275,107040,329.123962976104,772645.0299348278,0.38137835671579867,0.5974970533833575
ndev,0.6956758117867894,121561,819.6623573578729,1249687.6076583227,0.025048274901089466,0.23753558474693592
age,0.4341356774141858,75860,17.101321665769063,3823.994317750316,0.2197058889912981,0.4709452143383941
nuc,0.6265494626240429,109482,265.29547665648,847630.3851423274,0.2714540365741238,0.6445724344042346
exp,0.0,0,0.0,0.0,1.0,1.0
rexp,0.4207728141560508,73525,11.00265391638762,202391.75689761288,0.7374954344812087,0.9141702911581061
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999998
