,R0_new,R0_old,R0_diff,R0_p_value,R0_h0,R0_a12,R1_new,R1_old,R1_diff,R1_p_value,R1_h0,R1_a12,Gmean_new,Gmean_old,Gmean_diff,Gmean_p_value,Gmean_h0,Gmean_a12,mcc_new,mcc_old,mcc_diff,mcc_p_value,mcc_h0,mcc_a12,precision_new,precision_old,precision_diff,precision_p_value,precision_h0,precision_a12,f1_score_new,f1_score_old,f1_score_diff,f1_score_p_value,f1_score_h0,f1_score_a12,acc_new,acc_old,acc_diff,acc_p_value,acc_h0,acc_a12
0,0.7665566568085225,0.7242977731634034,0.0423,1.7343976283205784e-06,yes,1.0,0.5518049539522439,0.5696450854365985,-0.0178,2.370447702550485e-05,yes,0.09555555555555556,0.6460200474801839,0.6272007875973816,0.0188,1.7343976283205784e-06,yes,0.9944444444444444,0.3286207911599771,0.3077044827004496,0.0209,1.7343976283205784e-06,yes,0.9855555555555556,0.7081373945334754,0.6891054763627135,0.019,1.7343976283205784e-06,yes,0.9977777777777778,0.6178756209632786,0.6137413643377609,0.0041,0.019569215233846398,yes,0.6611111111111111,0.6590807610917094,0.6468420137288136,0.0122,1.7343976283205784e-06,yes,0.9866666666666668
1,0.7977973299880721,0.8248996825994229,-0.0271,1.7343976283205784e-06,yes,0.015555555555555557,0.4322757249147757,0.3753451846784052,0.0569,1.7343976283205784e-06,yes,0.9844444444444445,0.5750007624178458,0.5401649613181629,0.0348,1.7343976283205784e-06,yes,0.98,0.2482268438617765,0.2254435409105203,0.0228,1.92092110490314e-06,yes,0.9244444444444444,0.681818259833275,0.6834861503312472,-0.0017,0.1915221065809437,no,,0.5268619909275883,0.4772333002886638,0.0496,1.7343976283205784e-06,yes,0.9844444444444445,0.6147191657663085,0.599845575296036,0.0149,1.7343976283205784e-06,yes,0.9522222222222222
2,0.8453815323593452,0.8491491630435287,-0.0038,1.9729484515803686e-05,yes,0.25,0.5255276957066654,0.5200207473833228,0.0055,0.0002830789435165413,yes,0.6477777777777778,0.6628866493287668,0.6608494257378885,0.002,0.007730944211317755,yes,0.58,0.39362001573401706,0.3929616800013848,0.0007,0.5038329688781412,no,,0.7760643360998777,0.7781751576843206,-0.0021,6.892290296834955e-05,yes,0.37666666666666665,0.6227308033964227,0.619431417590315,0.0033,0.0017087731951465322,yes,0.6066666666666667,0.6854522854065552,0.6845826870867519,0.0009,0.08971783776750893,no,
3,0.8752785763853108,0.8971102997978151,-0.0218,1.92092110490314e-06,yes,0.02,0.4030121627660542,0.3897098758924255,0.0133,0.001964581371326548,yes,0.7588888888888888,0.5885787566370398,0.5885144225719791,0.0001,0.6288430020541073,no,,0.3184860106175255,0.3357135523322159,-0.0172,4.729202337447058e-06,yes,0.12111111111111113,0.7724658548688718,0.7995756541186115,-0.0271,1.7343976283205784e-06,yes,0.004444444444444445,0.5264054175195556,0.5217704929117172,0.0046,0.0752133122154768,no,,0.6391223667310469,0.6433911065067951,-0.0043,0.004114030779322713,yes,0.2766666666666667
4,0.9081262702589132,0.9090156851015336,-0.0009,0.003378854437718857,yes,0.3844444444444444,0.3188412630956332,0.31783218044843115,0.001,0.22102157481330345,no,,0.5108942816553603,0.5106176252082033,0.0003,0.6883592982254604,no,,0.28318129561492983,0.2837543456191074,-0.0006,0.3933343721992797,no,,0.7927042516915975,0.7942417877873901,-0.0015,0.006835856425301226,yes,0.3488888888888889,0.42633506106529534,0.4257917524643959,0.0005,0.5304400912497492,no,,0.6134822308409354,0.6134224119593691,0.0001,0.7970983030067952,no,
5,0.8016519788699966,0.8616482959378751,-0.06,1.7343976283205784e-06,yes,0.0,0.5927023342765761,0.5031410271415727,0.0896,1.7343976283205784e-06,yes,1.0,0.6817132265313296,0.6529992545470192,0.0287,1.7343976283205784e-06,yes,1.0,0.4076790441287633,0.3927946502766274,0.0149,1.7343976283205784e-06,yes,1.0,0.7539541062394008,0.7872058555169346,-0.0333,1.7343976283205784e-06,yes,0.0,0.6552083344092555,0.6076430928161501,0.0476,1.7343976283205784e-06,yes,1.0,0.6971756503766616,0.682393604499979,0.0148,1.7343976283205784e-06,yes,1.0
6,0.7643759736540915,0.7708380982598778,-0.0065,0.05193066502969716,no,,0.5623154206183811,0.5541334520085954,0.0082,0.11092566512553104,no,,0.6496443326324539,0.6476167847090453,0.002,0.4652825818790846,no,,0.3372693262794427,0.3363749753285322,0.0009,0.9426105124576512,no,,0.7106483924694678,0.7128621926811474,-0.0022,0.1915221065809437,no,,0.6238933542498281,0.6200041984883969,0.0039,0.2536440975460013,no,,0.6633264860456252,0.6624670558153556,0.0009,0.8130168513045055,no,
7,0.7726414233332498,0.8909049267567354,-0.1183,1.7343976283205784e-06,yes,0.0,0.564535249761709,0.35918066521303765,0.2054,1.7343976283205784e-06,yes,1.0,0.6558139877213054,0.557550120533527,0.0983,1.7343976283205784e-06,yes,1.0,0.3472456779916836,0.29970334128264714,0.0475,1.7343976283205784e-06,yes,1.0,0.7153769268583745,0.7785620416834363,-0.0632,1.7343976283205784e-06,yes,0.0,0.6258630387380805,0.4819035737191597,0.14400000000000002,1.7343976283205784e-06,yes,1.0,0.6685973957818617,0.6250488379150644,0.0435,1.7343976283205784e-06,yes,1.0
8,0.9271370076997676,0.9364987376624346,-0.0094,1.7343976283205784e-06,yes,0.02333333333333333,0.33418448284322355,0.35623535782988824,-0.0221,2.603328389538926e-06,yes,0.07555555555555556,0.5534952664197343,0.5740803884656909,-0.0206,1.92092110490314e-06,yes,0.042222222222222223,0.3272433300995694,0.36135830870861,-0.0341,1.7343976283205784e-06,yes,0.0011111111111111113,0.8297125150339306,0.8554207354137262,-0.0257,1.7343976283205784e-06,yes,0.0,0.4726361399550125,0.4988136445007735,-0.0262,1.92092110490314e-06,yes,0.043333333333333335,0.6306596708390816,0.6463661234550762,-0.0157,1.7343976283205784e-06,yes,0.008888888888888889
9,0.8402439984458705,0.8294663104760224,0.0108,2.3534209951215342e-06,yes,0.9633333333333334,0.4283978999519196,0.4323774939212324,-0.004,0.05983560139134924,no,,0.5914591903210427,0.5905623675534539,0.0009,0.4652825818790846,no,,0.29532366983266983,0.2858542707611568,0.0095,1.9729484515803686e-05,yes,0.8822222222222222,0.7273245335411094,0.7159841158518858,0.0113,1.7343976283205784e-06,yes,0.9866666666666668,0.5309878526238001,0.5325760373096962,-0.0016,0.37093530784512463,no,,0.6343022470607789,0.6309019430232262,0.0034,0.000715703384624892,yes,0.8144444444444444
