,R0_new,R0_old,R0_diff,R0_p_value,R0_h0,R0_a12,R1_new,R1_old,R1_diff,R1_p_value,R1_h0,R1_a12,Gmean_new,Gmean_old,Gmean_diff,Gmean_p_value,Gmean_h0,Gmean_a12,mcc_new,mcc_old,mcc_diff,mcc_p_value,mcc_h0,mcc_a12,precision_new,precision_old,precision_diff,precision_p_value,precision_h0,precision_a12,f1_score_new,f1_score_old,f1_score_diff,f1_score_p_value,f1_score_h0,f1_score_a12,acc_new,acc_old,acc_diff,acc_p_value,acc_h0,acc_a12
0,0.6507814476394723,0.7019410577252829,-0.0512,1.7343976283205784e-06,yes,0.0,0.6379758680048355,0.5879063262123021,0.0501,1.7343976283205784e-06,yes,1.0,0.6349346443999306,0.6254431220373645,0.0095,1.4935639298398679e-05,yes,0.8411111111111111,0.2928565050112335,0.3005871012833249,-0.0077,0.002957462130717483,yes,0.2777777777777778,0.6536361242952677,0.6785512315725447,-0.0249,1.7343976283205784e-06,yes,0.0,0.6415472482845924,0.6207764942097704,0.0208,1.7343976283205784e-06,yes,0.9988888888888888,0.6442289970043084,0.6447837820786746,-0.0006,0.5304400912497492,no,
1,0.755460783973103,0.7798747107763903,-0.0244,2.3534209951215342e-06,yes,0.06888888888888889,0.512711249190159,0.4667787779575906,0.0459,4.729202337447058e-06,yes,0.93,0.6119458218281643,0.5918784121079955,0.0201,2.8434237746031825e-05,yes,0.8955555555555555,0.27719125343907697,0.2600527245921488,0.0171,5.3069919380911025e-05,yes,0.87,0.6762598690594985,0.6779948671473606,-0.0017,0.1915221065809437,no,,0.5836935309581383,0.5511982944046807,0.0325,7.690859302848516e-06,yes,0.9133333333333332,0.6337022067255569,0.6229786951817874,0.0107,3.724264727945643e-05,yes,0.8833333333333333
2,0.7388566509436795,0.7806060835112436,-0.0417,1.7343976283205784e-06,yes,0.0,0.6876917195401802,0.6227921613182672,0.0649,1.7343976283205784e-06,yes,1.0,0.7088390069156619,0.690804690768484,0.018000000000000002,1.7343976283205784e-06,yes,1.0,0.4310353523751809,0.4144085333982301,0.0166,1.7343976283205784e-06,yes,0.9877777777777778,0.7303421264159025,0.7470078300714501,-0.0167,1.7343976283205784e-06,yes,0.0,0.7049611898882857,0.6724496211774121,0.0325,1.7343976283205784e-06,yes,1.0,0.7132702523009357,0.7016958237045584,0.0116,1.7343976283205784e-06,yes,1.0
3,0.9543762913786054,0.9529672577724814,0.0014,0.04716174720825457,yes,0.6344444444444445,0.2095999996455392,0.2025565937202368,0.006999999999999999,0.03326889706740501,yes,0.6888888888888889,0.4391227008305558,0.4303027371481635,0.0088,0.018518974697467716,yes,0.7188888888888889,0.24681106771143715,0.23500812470856644,0.0118,2.5967125848447383e-05,yes,0.8111111111111111,0.8351092505416889,0.8192638374832325,0.0158,1.126539849982107e-05,yes,0.9333333333333332,0.3301216803613535,0.3187373925821139,0.0114,0.007730944211317755,yes,0.74,0.5819797309586563,0.5777532490334245,0.0042,0.000715703384624892,yes,0.7744444444444445
4,0.8036115189893404,0.8105332656945841,-0.0069,0.003854236286879128,yes,0.2866666666666667,0.5625145198344375,0.5637634222781919,-0.0012,0.6288430020541073,no,,0.6626133630985491,0.667213514932881,-0.0046,0.00984214240169315,yes,0.2911111111111111,0.3809366917499683,0.389723415658521,-0.0088,1.798848069179905e-05,yes,0.10666666666666667,0.7441235648696246,0.7511329455109035,-0.006999999999999999,1.126539849982107e-05,yes,0.13444444444444445,0.6312349967236803,0.6355979021531538,-0.0044,0.06268281249957977,no,,0.6830597364215678,0.6871451770232901,-0.0041,0.0001477276174888222,yes,0.16444444444444445
5,0.691301134703837,0.7835680243816495,-0.0923,1.7343976283205784e-06,yes,0.0,0.7356773792008953,0.6333429098106457,0.1023,1.7343976283205784e-06,yes,1.0,0.7030278423700302,0.6962802086319635,0.0067,1.7343976283205784e-06,yes,0.9977777777777778,0.4342728605929303,0.4263395154359471,0.0079,1.7343976283205784e-06,yes,0.9766666666666668,0.7099915373505379,0.7504711903749666,-0.0405,1.7343976283205784e-06,yes,0.0,0.7125362132522063,0.6781478029415652,0.0344,1.7343976283205784e-06,yes,1.0,0.713486912783837,0.7084538135046592,0.005,1.7343976283205784e-06,yes,0.9944444444444444
6,0.7329719604803108,0.7685939229993392,-0.0356,1.7343976283205784e-06,yes,0.0033333333333333327,0.6067430806783157,0.550026197504426,0.0567,1.7343976283205784e-06,yes,1.0,0.6576138331839962,0.6385429945371437,0.0191,1.7343976283205784e-06,yes,1.0,0.3485186793250034,0.3335527892853079,0.015,1.7343976283205784e-06,yes,0.9855555555555556,0.7018311710740494,0.7142516419726181,-0.0124,1.7343976283205784e-06,yes,0.021111111111111112,0.644089966160011,0.6111858591709646,0.0329,1.7343976283205784e-06,yes,1.0,0.6698357490310445,0.6592911576153037,0.0105,1.7343976283205784e-06,yes,0.9944444444444444
7,0.6004212788185349,0.8459997946547594,-0.2456,1.7343976283205784e-06,yes,0.0,0.7143879583978882,0.427660391538279,0.2867,1.7343976283205784e-06,yes,1.0,0.6474752801724862,0.595355267114335,0.0521,1.7343976283205784e-06,yes,1.0,0.32287681984904737,0.30413367124167223,0.0187,1.7343976283205784e-06,yes,1.0,0.6460249866827261,0.7413070278419526,-0.0953,1.7343976283205784e-06,yes,0.0,0.6718753623602124,0.5350737393874417,0.1368,1.7343976283205784e-06,yes,1.0,0.6574160825654359,0.6368372869531931,0.0206,1.7343976283205784e-06,yes,1.0
8,0.9579080666093156,0.9679372598245932,-0.01,1.7343976283205784e-06,yes,0.0,0.2436192193642571,0.2166681588991736,0.027000000000000003,1.7343976283205784e-06,yes,1.0,0.4775308826624165,0.44857429054642667,0.028999999999999998,1.7343976283205784e-06,yes,0.9988888888888888,0.29087473691482,0.28253421407694274,0.0083,8.187753439649276e-05,yes,0.8577777777777778,0.8654604114144767,0.8896324477269366,-0.0242,1.7343976283205784e-06,yes,0.0,0.3746118529044118,0.3396659595583565,0.0349,1.7343976283205784e-06,yes,0.9988888888888888,0.600763022302181,0.5923022426734457,0.0085,2.1266360107314253e-06,yes,0.99
9,0.675745783830688,0.722547435735794,-0.0468,1.7343976283205784e-06,yes,0.0,0.6584553395291375,0.5862020971952285,0.0723,1.7343976283205784e-06,yes,1.0,0.6610848709346371,0.6441139736146612,0.017,1.7343976283205784e-06,yes,1.0,0.3378749702510381,0.31440842001471864,0.0235,1.7343976283205784e-06,yes,1.0,0.6710425210866116,0.6784484538495351,-0.0074,1.7343976283205784e-06,yes,0.004444444444444445,0.6597629026143411,0.6237575255188293,0.036000000000000004,1.7343976283205784e-06,yes,1.0,0.6670626022475504,0.6543422935599458,0.0127,1.7343976283205784e-06,yes,1.0
