,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,0,0,0,0,0,0,0,5097,4584,3742,5353,0,3632,0
BroadleafCommerce,0,0,0,0,0,0,0,4513,4119,3602,4789,0,3565,0
camel,0,0,0,0,0,0,0,1592,1621,990,1750,0,974,0
corefx-v-6.2,0,0,0,0,0,0,0,4596,4437,4178,4851,0,4107,0
django,0,0,0,0,0,0,0,372,325,322,393,0,301,0
elasticsearch,0,0,0,0,0,0,0,28661,30141,25104,29217,0,24574,0
fabric8,0,0,0,0,0,0,0,669,505,610,759,0,608,0
godot,0,0,0,0,0,0,0,11925,11282,12065,12349,0,11461,0
vscode,0,0,0,0,0,0,0,53452,90619,23302,54399,0,22868,0
pytorch,0,0,0,0,0,0,0,1353,3020,889,1439,0,860,0
spring-boot,0,0,0,0,0,0,0,12157,12232,8796,12633,0,8438,0
node,0,0,0,0,0,0,0,2387,2046,1794,2500,0,1677,0
nova,0,0,0,0,0,0,0,11986,10492,10815,12427,0,10574,0
tomcat,0,0,0,0,0,0,0,207,27,135,218,0,135,0
pandas,0,0,0,0,0,0,0,2296,1663,1640,2384,0,1599,0
security,0,0,0,0,0,0,0,2943,2272,2196,3529,0,2121,0
rails,0,0,0,0,0,0,0,12597,12319,10856,13337,0,10216,0
rust,0,0,0,0,0,0,0,107040,121561,75860,109482,0,73525,0
wp-calypso,0,0,0,0,0,0,0,3162,2712,2464,3296,0,2422,0
npm,0,0,0,0,0,0,0,185,191,87,210,0,85,0
Mybatis3,0,0,0,0,0,0,0,234,222,339,404,0,316,0
tensorflow,0,0,0,0,44,0,0,45833,46743,38732,46701,0,38089,0
