,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0
ns,0.0,0,0.0,0.0,0.9999999999999999,1.0
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,1.0000000000000002
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.40710491179227865,28661,116.41985869818811,146962.5797517597,0.495829085549992,0.918450955764684
ndev,0.4281270418454021,30141,126.45402119257976,48436.60018181302,0.13016347264680955,0.3528003016120131
age,0.35658077895514334,25104,22.083969138581125,5285.2431762494525,0.270902766168922,0.5642035795104956
nuc,0.41500241470412774,29217,57.430754808102044,76645.46240163632,0.40427963815813966,0.905533884417031
exp,0.0,0,0.0,0.0,1.0,0.9999999999999999
rexp,0.3490525837334167,24574,16.52151506727886,282613.70446529664,0.684588837226851,0.7382000782638806
sexp,0.0,0,0.0,0.0,1.0,1.0
